phrase,paper_count,word_count
function identity,78,2
connected bipartite graph,78,3
average number,78,2
optimal strategy,78,2
odd prime power,78,3
covering radius,78,2
consecutive pattern,78,2
nonempty subset,78,2
computational experiment,78,2
standard tableau,78,2
frobeniu number,78,2
linear set,78,2
binary linear,78,2
minimal free resolution,78,3
random planar,78,2
integer modulo,77,2
rogers-ramanujan identity,77,2
tensor power,77,2
jeu de,77,2
complete list,77,2
character formula,77,2
insertion algorithm,77,2
graph distance,77,2
diagonal entry,77,2
balanced bipartite,77,2
positive upper,77,2
short cycle,77,2
partite set,77,2
circle graph,77,2
preferential attachment,77,2
index among,77,2
graph generated,77,2
fixed order,77,2
maximal degree,77,2
prime divisor,77,2
last year,77,2
acyclic digraph,77,2
graph motivated,77,2
edge labeling,77,2
topological graph,77,2
degree sum,77,2
search tree,77,2
automatic sequence,77,2
threshold function,77,2
smallest set,76,2
stability theorem,76,2
precise asymptotic,76,2
positive real number,76,3
multiple zeta value,76,3
algebraic number,76,2
affine plane,76,2
connected regular graph,76,3
grassmann graph,76,2
discrete analogue,76,2
completely classify,76,2
saturated graph,76,2
roman domination number,76,3
graph sequence,76,2
fixed length,76,2
letter alphabet,76,2
de taquin,75,2
jeu de taquin,75,3
player take,75,2
basic hypergeometric series,75,3
edge-coloured graph,75,2
non-abelian group,75,2
finite commutative,75,2
feedback vertex,75,2
erdos renyi,75,2
cyclic code,75,2
spectral extremal,75,2
graph specifically,75,2
exponential time,75,2
unique graph,75,2
random graph process,75,3
real algebraic,74,2
non-crossing partition,74,2
affine lie,74,2
polynomial identity,74,2
wide variety,74,2
integrable system,74,2
two-player game,74,2
transitive group,74,2
bruhat interval,74,2
graph consist,74,2
base graph,74,2
arbitrarily close,74,2
linear inequality,74,2
uniformly bounded,74,2
enumeration formula,74,2
algebraic connectivity,74,2
graph decomposition,74,2
geometric object,74,2
dichromatic number,74,2
rainbow matching,74,2
fast algorithm,74,2
proper subgraph,74,2
hessenberg variety,74,2
quantitative version,74,2
interconnection network,74,2
rainbow connection,74,2
planar triangulation,74,2
residue class,73,2
extremal value,73,2
vertex tree,73,2
positive side,73,2
four color,73,2
finite automaton,73,2
schur positivity,73,2
quantum information,73,2
difference family,73,2
branching rule,73,2
grow exponentially,73,2
very close,73,2
face poset,73,2
graded poset,72,2
last section,72,2
search algorithm,72,2
mutually orthogonal,72,2
distance function,72,2
flag algebra,72,2
numerical experiment,72,2
md code,72,2
extremal set theory,72,3
permutation polynomial,72,2
high degree,72,2
weighted version,72,2
polynomial sequence,72,2
graph drawing,72,2
integer linear programming,72,3
finite metric,72,2
list chromatic number,72,3
topological recursion,72,2
bent function,72,2
polynomial growth,72,2
affine lie algebra,71,3
congruence class,71,2
six-vertex model,71,2
better understanding,71,2
monomial basi,71,2
piecewise linear,71,2
stochastic process,71,2
regular matroid,71,2
bipartite planar,71,2
cohomology class,71,2
rsk correspondence,71,2
degree polynomial,71,2
orbit closure,71,2
coloring number,71,2
strongly connected digraph,71,3
finite collection,71,2
gray code,71,2
ricci curvature,71,2
fano plane,71,2
binary operation,71,2
theorem imply,71,2
symbolic power,70,2
real matrix,70,2
fock space,70,2
planar bipartite,70,2
vector bundle,70,2
gromov-witten invariant,70,2
lebesgue measure,70,2
abstract simplicial,70,2
abstract simplicial complex,70,3
graph together,70,2
positive density,70,2
specific class,70,2
smith normal,70,2
smith normal form,70,3
simple module,70,2
sandpile model,70,2
cw complex,70,2
elementary abelian group,70,3
simple closed,70,2
very little,70,2
bound theorem,70,2
put forward,70,2
alternating permutation,70,2
regular representation,70,2
pebbling number,70,2
well-known theorem,70,2
yang-baxter equation,70,2
boolean algebra,70,2
matrix multiplication,70,2
face number,70,2
reflexive polytope,70,2
stochastic matrix,70,2
enveloping algebra,69,2
identity matrix,69,2
power set,69,2
incidence bound,69,2
finite vector,69,2
graph arising,69,2
feedback vertex set,69,3
fixed vertex,69,2
chow ring,69,2
asymptotic normality,69,2
rational curve,69,2
algebraic topology,69,2
multiplicative factor,69,2
