phrase,paper_count,word_count
higher dimension,313,2
vertex degree,313,2
removed,313,1
spanning subgraph,313,2
understood,313,1
uniquenes,312,1
meaning,312,1
edge ideal,311,2
hyperedge,311,1
usually,310,1
constrained,310,1
blue,310,1
finitely generated,310,2
round,309,1
chromatic polynomial,309,2
root system,309,2
splitting,309,1
published,308,1
limited,308,1
variance,308,1
algebraic geometry,307,2
johnson,307,1
reconstruction,307,1
write,306,1
group action,306,2
refer,306,1
asymptotic formula,305,2
doubly,305,1
dependence,305,1
signles laplacian,304,2
conclusion,304,1
beside,304,1
location,303,1
unimodular,303,1
boolean function,303,2
decompose,302,1
one-dimensional,301,1
coset,301,1
integer sequence,301,2
entire,301,1
strongly regular graph,301,3
knot,300,1
complicated,300,1
fibonacci number,300,2
individual,300,1
sudakov,300,1
false,299,1
noncrossing,299,1
conjugacy,298,1
initially,297,1
semidefinite,297,1
macdonald polynomial,296,2
lattice polytope,296,2
hypothesi,295,1
elliptic,295,1
complementary,295,1
riemann,295,1
body,295,1
wheel,295,1
top,295,1
continued fraction,294,2
hecke algebra,294,2
fewer,294,1
symmetric matrix,293,2
put,293,1
mutation,292,1
book,292,1
repeated,292,1
growth rate,292,2
verified,292,1
subtree,292,1
concrete,292,1
morse,291,1
borel,291,1
curvature,291,1
irreducible representation,290,2
scale,290,1
bivariate,290,1
finite-dimensional,290,1
built,290,1
evaluate,289,1
plane partition,289,2
fiber,288,1
differential equation,288,2
advantage,288,1
quasisymmetric,288,1
magnitude,288,1
long-standing,288,1
receive,288,1
vertex-transitive,288,1
identical,287,1
multipartite graph,287,2
injective,287,1
hardnes,287,1
branch,286,1
schubert variety,286,2
sumset,286,1
counted,285,1
parking,285,1
secondly,284,1
weighted graph,284,2
congruent,283,1
graph invariant,283,2
feasible,283,1
geodesic,282,1
grothendieck,282,1
nested,282,1
pose,281,1
outerplanar,281,1
hole,281,1
angle,281,1
carry,281,1
alternate,280,1
highlight,280,1
random permutation,280,2
strongly connected,280,2
representative,280,1
challenging,280,1
possibility,279,1
convex set,279,2
acros,279,1
ago,279,1
ramsey theory,279,2
grobner,278,1
analogy,278,1
decomposed,277,1
probability measure,277,2
graphic,277,1
simplify,277,1
issue,277,1
determination,277,1
linked,276,1
appl,276,1
parabolic,276,1
control,276,1
exchange,275,1
kneser,275,1
fixed graph,275,2
supported,275,1
laurent,275,1
transposition,274,1
admissible,274,1
primary,274,1
extra,274,1
disk,274,1
discussion,273,1
disconnected,273,1
skeleton,272,1
neighbourhood,272,1
viewpoint,271,1
cellular,271,1
lift,271,1
matching number,271,2
partially ordered set,270,3
graham,269,1
unity,268,1
target,268,1
probability distribution,267,2
challenge,267,1
tao,267,1
logic,267,1
expected number,266,2
force,266,1
exceed,266,1
idempotent,266,1
plu,266,1
spanned,265,1
capacity,265,1
finite subset,265,2
complete multipartite,265,2
social,265,1
reach,265,1
graph model,265,2
frankl,264,1
closed formula,264,2
locally finite,264,2
flip,264,1
saturated,264,1
event,264,1
random regular,264,2
finite number,264,2
applicable,264,1
decide whether,264,2
ternary,263,1
distinguish,263,1
braid,263,1
littlewood-richardson,263,1
outside,263,1
decreasing,263,1
enumerated,263,1
similarity,263,1
unicyclic,263,1
hurwitz,262,1
hamiltonicity,262,1
nonlinear,262,1
growing,262,1
respective,262,1
zeta function,261,2
difference set,261,2
extensive,261,1
distinguishing,260,1
edge incident,260,2
recognition,260,1
codimension,259,1
faster,259,1
linear group,259,2
theorem state,258,2
preserved,258,1
concerned,257,1
interpret,257,1
learning,257,1
distance-regular,257,1
joining,257,1
spin,256,1
codeword,256,1
kim,256,1
restrict,255,1
lastly,255,1
briefly,255,1
hadamard matrix,255,2
presence,255,1
representable,255,1
conjectural,255,1
outcome,255,1
self-contained,255,1
interval graph,255,2
gorenstein,254,1
parking function,254,2
report,254,1
desired,254,1
computable,254,1
bit,253,1
stationary,253,1
reflection group,253,2
classifying,253,1
discover,253,1
vertex coloring,253,2
substitution,253,1
inner,252,1
integrable,252,1
uniformly random,252,2
received,252,1
unimodal,252,1
replace,252,1
selected,252,1
self-dual,251,1
closed form,251,2
stable set,251,2
recursively,251,1
focusing,251,1
species,251,1
past,251,1
dense graph,251,2
convexity,251,1
direct product,250,2
experimental,250,1
clustering,250,1
minimum distance,250,2
deciding whether,250,2
insertion,249,1
firstly,249,1
calculating,249,1
deviation,249,1
corner,249,1
account,249,1
multidimensional,249,1
symmetric polynomial,248,2
universality,248,1
bruhat order,248,2
indecomposable,248,1
advance,248,1
factorial,248,1
standard young,247,2
requirement,247,1
graph-theoretic,247,1
divisibility,247,1
attached,247,1
bell,246,1
standard young tableau,246,3
dynamical system,246,2
simplified,246,1
pattern avoidance,246,2
likely,246,1
seminal,246,1
consistent,246,1
mild,246,1
prime number,246,2
sun,245,1
embed,245,1
encoded,245,1
hall,245,1
graph coloring,245,2
petersen graph,245,2
during,245,1
switching,245,1
confirming,243,1
poincare,243,1
